#
#    ID                (A9)    Cluster identification number [ucd=meta.id;phys.atmol.number]
#    RAJ2000 ("h:m:s") (A10)   Right Ascension J2000 [ucd=pos.eq.ra;meta.main]
#    DEJ2000 ("d:m:s") (A9)    Declination J2000 [ucd=pos.eq.dec;meta.main]
#    GLON (deg)        (F6.2)  Galactic longitude [ucd=pos.galactic.lon]
#    GLAT (deg)        (F6.2)  Galactic latitude [ucd=pos.galactic.lat]
#    Rsun (kpc)        (F5.1)  ? Distance from Sun [ucd=pos.distance;pos.heliocentric]
#    Rgc (kpc)         (F5.1)  ? Distance from Galactic center, assuming R(Sun)=8.0 kpc [ucd=pos.distance;pos.galactocentric]
#    Vt (mag)          (F5.2)  ? Integrated V magnitude of the cluster [ucd=phot.mag;em.opt]
#    [Fe/H] (Sun)      (F5.2)  ? Metallicity in log (base 10) scale [ucd=instr.scale]
#--------- ---------- --------- ------ ------ ----- ----- ----- -----
#                                                               [F   
#          RAJ2000    DEJ2000   GLON   GLAT   Rsun  Rgc   Vt    e/H] 
#ID        ("h:m:s")  ("d:m:s") (deg)  (deg)  (kpc) (kpc) (mag) (Sun)
#--------- ---------- --------- ------ ------ ----- ----- ----- -----
NGC 6341  17 17 07.3 +43 08 11  68.34  34.86   8.1   9.5  6.44 -2.29
NGC 6325  17 17 59.2 -23 45 57   0.97   8.00   9.4   1.9 10.33 -1.17
NGC 6333  17 19 11.8 -18 30 59   5.54  10.70   8.3   1.7  7.72 -1.72
NGC 6342  17 21 10.2 -19 35 14   4.90   9.73   9.1   1.9  9.66 -0.65
NGC 6356  17 23 35.0 -17 48 47   6.72  10.22  14.6   7.0  8.25 -0.50
NGC 6355  17 23 58.6 -26 21 13 359.58   5.43   7.1   1.2  9.14 -1.50
NGC 6352  17 25 29.2 -48 25 22 341.42  -7.17   5.6   3.3  7.96 -0.70
IC 1257   17 27 08.5 -07 05 35  16.53  15.14  24.5  17.3 13.10 -1.70
Terzan 2  17 27 33.4 -30 48 08 356.32   2.30   9.5   1.6 14.29 -0.25
NGC 6366  17 27 44.3 -05 04 36  18.41  16.04   3.6   4.9  9.20 -0.82
Terzan 4  17 30 38.9 -31 35 44 356.02   1.31   8.9   1.1 16.00 -1.60
HP 1      17 31 05.2 -29 58 54 357.42   2.12   7.2   0.9 11.59 -1.50
NGC 6362  17 31 54.8 -67 02 53 325.55 -17.57   7.5   5.1  7.73 -1.06
Liller 1  17 33 24.5 -33 23 20 354.84  -0.16  10.5   2.6 16.77  0.22
NGC 6380  17 34 28.0 -39 04 09 350.18  -3.42             11.31 
Terzan 1  17 35 47.8 -30 28 11 357.57   1.00   6.5   1.5 15.90 -0.35
Ton 2     17 36 10.5 -38 33 12 350.80  -3.42   7.9   1.4 12.24 -0.50
NGC 6388  17 36 17.0 -44 44 06 345.56  -6.74  11.5   4.4  6.72 -0.60
NGC 6402  17 37 36.1 -03 14 45  21.32  14.81   8.7   3.8  7.59 -1.39
NGC 6401  17 38 36.9 -23 54 32   3.45   3.98   7.5   0.9  9.45 -1.12
NGC 6397  17 40 41.3 -53 40 25 338.17 -11.96   2.2   6.0  5.73 -1.95
Pal 6     17 43 42.2 -26 13 21   2.09   1.78   6.7   1.4 11.55 -0.10
NGC 6426  17 44 54.7 +03 10 13  28.09  16.23  19.9  13.8 11.01 -2.26
Djorg 1   17 47 28.3 -33 03 56 356.67  -2.48   9.2   1.4 13.60 
Terzan 5  17 48 04.9 -24 48 45   3.81   1.67   8.0   0.6 13.85 -0.28
NGC 6440  17 48 52.6 -20 21 34   7.73   3.80   8.0   1.2  9.20 -0.34
NGC 6441  17 50 12.9 -37 03 04 353.53  -5.01   9.7   2.1  7.15 -0.53
Terzan 6  17 50 46.4 -31 16 31 358.57  -2.16   7.5   0.6 13.85 -0.65
NGC 6453  17 50 51.8 -34 35 55 355.72  -3.87  10.9   3.1 10.08 -1.53
UKS 1     17 54 27.2 -24 08 43   5.12   0.76   7.5   0.8 17.29 -1.20
NGC 6496  17 59 02.0 -44 15 54 348.02 -10.01  11.6   4.4  8.54 -0.64
Terzan 9  18 01 38.8 -26 50 23   3.60  -1.99   7.8   0.6 16.00 -1.00
Djorg 2   18 01 49.1 -27 49 33   2.76  -2.51  13.8   5.8  9.90 
NGC 6517  18 01 50.6 -08 57 32  19.23   6.76  10.5   4.1 10.23 -1.37
Terzan 10 18 02 57.4 -26 04 00   4.42  -1.86   8.4   0.8 14.90 -0.70
NGC 6522  18 03 34.1 -30 02 02   1.02  -3.93   7.0   1.1  8.27 -1.52
NGC 6535  18 03 50.7 -00 17 49  27.18  10.44   6.8   3.9 10.47 -1.80
NGC 6528  18 04 49.6 -30 03 21   1.14  -4.17   7.4   0.8  9.60 -0.17
NGC 6539  18 04 49.8 -07 35 09  20.80   6.78   7.9   3.0  9.33 -0.66
NGC 6540  18 06 08.6 -27 45 55   3.29  -3.31   3.5   4.5  9.30 -1.00
NGC 6544  18 07 20.6 -24 59 51   5.84  -2.20   2.5   5.5  7.77 -1.56
NGC 6541  18 08 02.2 -43 42 20 349.29 -11.18   7.4   2.1  6.30 -1.83
NGC 6553  18 09 15.6 -25 54 28   5.25  -3.02   4.7   3.3  8.06 -0.25
NGC 6558  18 10 18.4 -31 45 49   0.20  -6.03   6.4   1.8  9.26 -1.44
IC 1276   18 10 44.2 -07 12 27  21.83   5.67   9.3   3.6 10.34 
Terzan 12 18 12 15.8 -22 44 31   8.36  -2.10             15.63 
NGC 6569  18 13 38.9 -31 49 35   0.48  -6.68   8.5   1.1  8.55 -0.86
NGC 6584  18 18 37.7 -52 12 54 342.14 -16.41  13.0   6.5  8.27 -1.49
NGC 6624  18 23 40.5 -30 21 40   2.79  -7.91   7.9   1.2  7.87 -0.42
NGC 6626  18 24 32.9 -24 52 12   7.80  -5.58   5.7   2.5  6.79 -1.45
NGC 6638  18 30 56.2 -25 29 47   7.90  -7.15   8.2   1.5  9.02 -0.99
NGC 6637  18 31 23.2 -32 20 53   1.72 -10.27   8.2   1.5  7.64 -0.71
NGC 6642  18 31 54.3 -23 28 35   9.81  -6.44   7.6   1.6  9.13 -1.35
NGC 6652  18 35 45.7 -32 59 25   1.53 -11.38   9.4   2.2  8.62 -0.96
NGC 6656  18 36 24.2 -23 54 12   9.89  -7.55   3.2   5.0  5.10 -1.64
Pal 8     18 41 29.9 -19 49 33  14.10  -6.80  12.4   5.2 11.02 -0.48
NGC 6681  18 43 12.7 -32 17 31   2.85 -12.51   8.7   2.0  7.87 -1.51
NGC 6712  18 53 04.3 -08 42 22  25.35  -4.32   6.7   3.5  8.10 -1.01
NGC 6715  18 55 03.3 -30 28 42   5.61 -14.09  26.2  18.6  7.60 -1.59
NGC 6717  18 55 06.2 -22 42 03  12.88 -10.90   7.1   2.4  9.28 -1.29
NGC 6723  18 59 33.2 -36 37 54   0.07 -17.30   8.6   2.6  7.01 -1.12
NGC 6749  19 05 15.3 +01 54 03  36.20  -2.20   7.7   4.9 12.44 -1.60
NGC 6752  19 10 51.8 -59 58 55 336.50 -25.63   3.9   5.3  5.40 -1.55
NGC 6760  19 11 12.1 +01 01 50  36.11  -3.92   7.3   4.8  8.88 -0.52
NGC 6779  19 16 35.5 +30 11 05  62.66   8.34   9.9   9.5  8.27 -1.94
Terzan 7  19 17 43.7 -34 39 27   3.39 -20.07  23.0  15.8 12.00 -0.58
Pal 10    19 18 02.1 +18 34 18  52.44   2.72   5.8   6.4 13.22 -0.10
Arp 2     19 28 44.1 -30 21 14   8.55 -20.78  27.6  20.4 12.30 -1.76
NGC 6809  19 39 59.4 -30 57 44   8.80 -23.27   5.3   3.9  6.32 -1.81
Terzan 8  19 41 45.0 -34 00 01   5.76 -24.56  25.4  18.5 12.40 -1.87
Pal 11    19 45 14.4 -08 00 26  31.81 -15.58  12.6   7.6  9.80 -0.39
NGC 6838  19 53 46.1 +18 46 42  56.74  -4.56   3.8   6.7  8.19 -0.73
NGC 6864  20 06 04.8 -21 55 17  20.30 -25.75  18.4  12.4  8.52 -1.32
NGC 6934  20 34 11.6 +07 24 15  52.10 -18.89  15.2  12.4  8.83 -1.54
NGC 6981  20 53 27.9 -12 32 13  35.16 -32.68  16.8  12.7  9.27 -1.54
NGC 7006  21 01 29.5 +16 11 15  63.77 -19.41  40.7  38.0 10.56 -1.68
NGC 7078  21 29 58.3 +12 10 01  65.01 -27.31  10.2  10.3  6.20 -2.22
NGC 7089  21 33 29.3 -00 49 23  53.38 -35.78  11.4  10.3  6.47 -1.62
NGC 7099  21 40 22.0 -23 10 45  27.18 -46.83   7.9   7.0  7.19 -2.12
Pal 12    21 46 38.8 -21 15 03  30.51 -47.68  18.7  15.5 11.99 -0.93
Pal 13    23 06 44.4 +12 46 19  87.10 -42.70  26.3  27.2 13.80 -1.65
NGC 7492  23 08 26.7 -15 36 41  53.39 -63.48  25.2  24.3 11.29 -1.51
