ID,AR [hms],DEC [dms],mu-ra*cos(dec) [mas/yr],mu-dec [mas/yr],plx [mas],radvel [km/s]
* bet Cas,00 09 10.685,+59 08 59.212,523.5,-179.77,59.58,4.3
HD 5015,00 53 4.196,+61 07 26.299,-68.298,169.435,52.9017,20.682
* ups01 Cas,00 55 0.156,+58 58 21.717,-31.2,-44.986,9.062,-22.36
* ups02 Cas,00 56 39.905,+59 10 51.805,-92.611,-45.397,16.6465,-47.941
* gam Cas,00 56 42.531,+60 43 0.264,25.17,-3.92,5.94,-6.8
* chi Cas,01 33 55.881,+59 13 55.394,-44.188,-18.538,16.2553,6.66
* phi Cas,01 20 4.916,+58 13 53.808,-1.479,-1.231,0.2142,-18.9
* tau Per,02 54 15.478,+52 45 44.883,-8.311,-2.58,12.3726,2.2
* sig Per,03 30 34.485,+47 59 42.779,3.954,18.968,9.506,14.36
* 30 Cyg,20 13 18.054,+46 48 56.431,13.597,-1.396,5.1207,-26.0
* omi02 Cyg,20 15 28.324,+47 42 51.214,0.18,-2.319,3.2558,-14.4
* ome01 Cyg,20 30 3.541,+48 57 5.641,10.058,6.873,2.5459,-21.9
* mu. Cep,21 43 30.461,+58 46 48.16,5.36,-3.51,0.55,23.0
* 4 Cas,23 24 50.262,+62 16 58.109,12.29,-12.44,4.15,-38.98
* kap Cas,00 32 59.991,+62 55 54.417,3.65,-2.07,0.73,0.3
* del Cas,01 25 48.951,+60 14 7.023,296.57,-49.22,32.81,6.7
* eta Per,02 50 41.81,+55 53 43.788,16.23,-13.54,3.71,-1.784
* gam Per,03 04 47.791,+53 30 23.169,0.51,-5.92,13.41,3.13
* alf Per,03 24 19.37,+49 51 40.245,23.75,-26.23,6.44,-2.158
* 34 Per,03 29 22.049,+49 30 32.231,23.542,-29.923,5.7184,-3.5
HD 21278,03 28 3.071,+49 03 46.326,22.754,-25.649,5.6775,1.2
* psi Per,03 36 29.38,+48 11 33.479,22.55,-27.78,5.59,-1.1
* del Per,03 42 55.504,+47 47 15.175,25.58,-43.06,6.32,4.0
* del Cyg,19 44 58.479,+45 07 50.916,44.07,48.66,19.77,-23.6
* nu. Cep,21 45 26.925,+61 07 14.9,-3.74,-2.1,0.48,-25.9
* 9 Cep,21 37 55.224,+62 04 54.99,-2.007,-4.293,1.0251,-13.5
V* VV Cep,21 56 39.144,+63 37 32.017,-0.25,-2.56,1.33,-18.7
* ksi Cep,22 03 47.455,+64 37 40.713,215.46,91.06,33.79,-10.74
* iot Cep,22 49 40.817,+66 12 1.464,-65.89,-125.17,28.29,-12.763
* eps Cas,01 54 23.734,+63 40 12.36,29.587,-18.387,7.0037,-8.3
* k Per,03 05 32.412,+56 42 20.588,-12.96,69.781,15.1897,-45.65
* c Per,04 08 39.692,+47 42 45.043,21.73,-33.61,6.84,0.8
* 33 Cyg,20 13 23.867,+56 34 3.8,61.82,82.18,20.48,-18.0
* alf Cep,21 18 34.772,+62 35 8.068,150.55,49.09,66.5,-15.8
* psi Cas,01 25 56.022,+68 07 48.046,75.5,26.93,16.72,-12.83
HD 21389,03 29 54.744,+58 52 43.497,-2.247,-0.657,0.9303,-6.2
* lam Per,04 06 35.044,+50 21 4.55,-12.75,-35.6,7.73,6.1
* mu. Per,04 14 53.863,+48 24 33.591,5.52,-17.37,3.62,26.46
* d Per,04 21 33.166,+46 29 55.965,21.659,-35.177,6.8802,7.3
* tet Cyg,19 36 26.533,+50 13 15.965,-5.854,263.66,54.2702,-27.581
* tet Cep,20 29 34.905,+62 59 38.797,34.798,-13.904,23.481,-6.8
* eta Cep,20 45 17.376,+61 50 19.617,86.5,818.02,70.1,-87.407
* ome Cas,01 56 0.028,+68 41 6.864,15.067,-10.313,4.4802,-23.8
HD 21291,03 29 4.133,+59 56 25.201,-2.751,-1.066,1.0527,-5.1
* b Per,04 18 14.621,+50 17 43.775,41.798,-53.997,8.5467,8.78
* iot Cyg,19 29 42.359,+51 43 47.206,20.59,128.33,26.88,-19.5
HD 189276,19 55 55.379,+58 50 45.487,-8.725,-20.993,3.668,4.26
* bet Cep,21 28 39.597,+70 33 38.575,12.54,8.39,4.76,-8.2
* 24 Cep,22 09 48.431,+72 20 28.34,33.041,2.809,8.2802,-16.239
* pi. Cep,23 07 53.854,+75 23 14.995,6.81,-34.06,13.22,-18.6
* pi. Cep A,23 07 53.871,+75 23 15.039,2.463,-33.829,12.1458,-26.94
* 48 Cas,02 01 57.45,+70 54 25.29,-55.69,-8.71,28.36,-5.0
* 50 Cas,02 03 26.106,+72 25 16.658,-43.57,22.3,20.76,-18.2
HD 20336,03 19 59.269,+65 39 8.286,11.632,-16.962,4.0589,-3.4
HD 23089,03 46 2.331,+63 20 42.212,-2.15,-16.007,2.9225,-2.4
* kap Cyg,19 17 6.169,+53 22 6.453,60.07,122.83,26.27,-29.36
* rho Dra,20 02 49.073,+67 52 24.829,16.44,47.31,7.61,-9.69
V* BE Cam,03 49 31.278,+65 31 33.526,0.319,-15.593,3.3288,-1.7
HD 175535,18 53 13.551,+50 42 29.594,-4.442,-21.985,11.1969,8.5
* pi. Dra,19 20 40.093,+65 42 52.31,15.09,41.12,14.25,-28.1
HD 19275,03 11 56.269,+74 23 37.17,14.158,-86.811,19.6409,11.9
* gam Cam,03 50 21.509,+71 19 56.148,18.17,-42.85,9.09,0.2
* 7 Cam,04 57 17.196,+53 45 7.565,-24.51,7.71,8.77,-7.9
* alf Aur,05 16 41.359,+45 59 52.769,75.25,-426.89,76.2,29.19
* omi Dra,18 51 12.094,+59 23 18.061,79.097,26.328,9.5709,-38.19
* del Dra,19 12 33.302,+67 39 41.546,95.74,91.92,33.48,24.818
* sig Dra,19 32 21.59,+69 39 40.236,597.384,-1738.286,173.4939,26.734
* kap Cep,20 08 53.349,+77 42 41.116,11.228,24.615,10.1788,-22.8
HD 216446,22 47 29.069,+83 09 13.784,24.058,47.224,10.3313,-32.03
* alf Cam,04 54 3.01,+66 20 33.636,-0.13,6.89,0.52,10.0
* bet Cam,05 03 25.09,+60 26 32.09,-6.5,-14.15,3.74,-0.56
* d Dra,18 32 34.523,+57 02 44.146,0.068,-7.961,1.02,-12.32
* 42 Dra,18 25 59.137,+65 33 48.531,105.816,-26.846,11.056,32.25
* ups Dra,18 54 23.852,+71 17 49.907,50.28,42.736,8.6601,-8.75
* tau Dra,19 15 32.985,+73 21 19.878,-129.43,93.738,21.6734,-26.75
HD 217382,22 54 24.971,+84 20 46.231,98.346,24.049,8.7418,2.55
* 2 UMi,01 08 44.88,+86 15 25.524,80.65,-11.54,11.64,8.36
* 36 Dra,18 13 53.833,+64 23 50.226,352.918,35.572,43.1837,-36.026
* phi Dra,18 20 45.432,+71 20 16.15,-5.03,37.86,10.77,-16.0
* chi Dra,18 21 3.383,+72 43 58.252,531.21,-349.71,124.11,31.9
* alf UMi,02 31 49.095,+89 15 50.792,44.48,-11.85,7.54,-16.42
* ksi Aur,05 54 50.767,+55 42 25.08,-7.049,12.959,13.3702,-11.8
* del Aur,05 59 31.618,+54 17 5.057,85.814,-142.928,23.0557,9.75
* pi. Aur,05 59 56.098,+45 56 12.246,-3.755,-7.785,4.5154,0.71
* gam Dra,17 56 36.37,+51 29 20.024,-8.48,-22.79,21.14,-27.91
* ksi Dra,17 53 31.73,+56 52 21.514,93.82,78.5,28.98,-26.09
* psi01 Dra A,17 41 56.062,+72 08 55.928,88.254,-271.791,43.95,-13.3
* eps UMi,16 45 58.244,+82 02 14.13,18.925,2.423,9.8637,-10.57
* del UMi,17 32 12.997,+86 35 11.258,10.17,53.97,18.95,-7.6
HD 42818,06 18 50.776,+69 19 11.231,-2.12,-101.99,18.64,-7.0
* iot Her,17 39 27.886,+46 00 22.8,-7.48,4.53,7.17,-18.9
V* VZ Cam,07 31 4.468,+82 24 41.282,-3.633,-41.623,6.5549,11.9
HD 49878,07 00 4.037,+76 58 38.671,72.948,-13.442,17.0753,-29.87
* 2 Lyn,06 19 37.385,+59 00 39.468,-5.35,23.86,20.83,-2.0
* psi01 Aur,06 24 53.902,+49 17 16.411,-0.155,-2.131,0.4426,4.4
* bet Dra,17 30 25.962,+52 18 4.999,-15.89,12.28,8.58,-20.825
* h Dra,16 56 1.689,+65 08 5.263,237.79,50.84,65.54,-22.25
* zet Dra,17 08 47.196,+65 42 52.863,-20.43,19.61,9.93,-17.7
* zet UMi,15 44 3.519,+77 47 40.179,19.91,-1.99,8.84,-13.1
* tet UMi,15 31 24.914,+77 20 57.696,-44.146,8.051,4.0798,-25.49
HD 81817,09 37 5.288,+81 19 34.971,-16.62,-16.41,3.28,-6.98
* mu. Dra,17 05 20.124,+54 28 12.099,-58.16,67.87,36.45,-17.3
* g Dra,16 40 55.119,+64 35 20.561,-0.3,-16.81,4.43,-1.0
* 15 Dra,16 27 59.015,+68 46 5.294,-24.299,34.349,6.7911,-6.7
* 4 UMi,14 08 50.926,+77 32 51.035,-30.815,33.335,4.318,5.86
* 15 Lyn,06 57 16.605,+58 25 21.94,6.08,-122.83,18.29,1.28
HD 151613,16 45 17.861,+56 46 54.84,-10.135,49.321,37.3269,-3.6
* eta Dra,16 23 59.486,+61 30 51.155,-16.394,57.094,35.7163,-14.734
* gam UMi,15 20 43.716,+71 50 2.46,-17.73,17.9,6.7,-3.9
* 5 UMi,14 27 31.543,+75 41 45.572,8.79,21.76,9.09,9.34
* bet UMi,14 50 42.326,+74 09 19.814,-32.61,11.42,24.91,16.96
HD 91190,10 35 5.49,+75 42 46.447,-20.219,1.482,13.0453,16.34
* psi10 Aur,06 57 37.107,+45 05 38.74,-21.52,-3.12,13.54,-11.9
* 52 Her,16 49 14.218,+45 58 59.962,22.57,-51.35,18.1,-1.6
* 42 Her,16 38 44.845,+48 55 42.032,-48.049,26.315,7.7288,-55.567
* tet Dra,16 01 53.346,+58 33 54.906,-319.51,334.97,47.54,-8.23
* d UMa,09 34 28.859,+69 49 49.227,-64.043,77.209,31.1546,-27.07
* rho UMa,09 02 32.691,+67 37 46.623,-21.736,17.726,10.1658,4.75
* 24 Lyn,07 43 0.416,+58 42 37.295,-37.5,-52.29,12.22,8.7
V* RR UMi,14 57 35.007,+65 55 56.857,-78.23,32.5,7.1,6.21
* sig02 UMa,09 10 23.546,+67 08 2.464,13.13,-90.93,49.07,-2.98
* sig02 UMa A,09 10 23.547,+67 08 2.462,13.119,-87.881,48.7404,-2.92
* pi.02 UMa,08 40 12.817,+64 19 40.57,-59.861,26.544,13.2035,14.62
* omi UMa,08 30 15.87,+60 43 5.406,-133.644,-107.664,17.9335,19.8
* 21 Lyn,07 26 42.852,+49 12 41.491,-10.22,-49.29,11.92,26.8
* iot Dra,15 24 55.775,+58 57 57.834,-8.36,17.08,32.23,-10.912
* alf Dra,14 04 23.35,+64 22 33.062,-56.34,17.21,10.76,-13.0
* 4 Dra,12 30 6.662,+69 12 3.974,-57.311,-50.365,5.7233,-15.8
* 6 Dra,12 34 44.019,+70 01 18.405,-32.393,-4.449,6.6159,3.38
* kap Dra,12 33 28.943,+69 47 17.66,-58.571,10.11,7.0093,-12.0
* lam Dra,11 31 24.221,+69 19 51.87,-40.97,-19.19,9.79,6.6
HD 92523,10 43 4.041,+69 04 34.37,0.679,-12.936,6.9401,-1.05
* h UMa,09 31 31.708,+63 03 42.696,107.818,26.791,42.0904,-1.38
* tau UMa,09 10 55.042,+63 30 49.216,104.904,-69.926,27.6487,-8.59
* phi Her,16 08 46.176,+44 56 5.661,-25.359,36.884,13.5751,-16.3
* ups Her,16 02 47.898,+46 02 12.134,55.458,-61.501,8.7194,3.0
* i Dra,13 51 25.939,+64 43 23.773,1.34,-5.15,8.78,-12.26
V* ET UMa,10 24 7.847,+65 33 59.121,-8.965,-21.009,9.6318,-0.1
* 27 Lyn,08 08 27.446,+51 30 24.005,-60.95,-3.11,13.04,11.0
* alf UMa,11 03 43.672,+61 45 3.725,-134.11,-34.7,26.54,-9.4
* ups UMa,09 50 59.358,+59 02 19.441,-294.441,-151.663,28.3783,27.3
* chi Her,15 52 40.541,+42 27 5.463,438.839,629.541,62.9028,-56.072
* e UMa,09 16 11.327,+54 01 18.686,48.858,60.396,27.9081,-17.5
* f UMa,09 08 52.258,+51 36 16.733,-136.33,-32.6,34.7,-0.1
* kap02 Boo,14 13 29.008,+51 47 23.883,61.899,-9.615,20.153,-15.6
* iot Boo,14 16 9.93,+51 22 2.029,-149.277,89.135,33.8856,-18.7
* tet Boo,14 25 11.797,+51 51 2.677,-235.4,-399.07,68.82,-10.627
* zet02 UMa,13 23 56.322,+54 55 18.514,114.529,-26.887,40.2803,-9.3
* zet01 UMa,13 23 55.542,+54 55 31.296,122.467,-22.682,40.2133,-5.6
* g UMa,13 25 13.538,+54 59 16.655,120.21,-16.04,39.91,-8.9
* 83 UMa,13 40 44.273,+54 40 53.889,-19.06,-10.56,6.23,-18.61
* 78 UMa,13 00 43.699,+56 21 58.81,107.94,2.05,39.3,-9.8
* eps UMa,12 54 1.75,+55 57 35.363,111.91,-8.24,39.51,-12.7
* del UMa,12 15 25.561,+57 01 57.416,104.11,7.3,40.51,-15.3
* bet UMa,11 01 50.477,+56 22 56.734,81.43,33.49,40.9,-13.1
* phi UMa,09 52 6.354,+54 03 51.596,-6.0,19.16,6.41,-14.7
* 26 UMa,09 34 49.433,+52 03 5.316,-65.74,-37.32,12.44,22.2
* tet UMa,09 32 51.434,+51 40 38.281,-947.46,-535.6,74.19,14.356
* kap UMa,09 03 37.528,+47 09 23.489,-36.19,-55.4,9.1,2.3
* iot UMa,08 59 12.454,+48 02 30.574,-441.29,-215.32,68.92,9.0
* 31 Lyn,08 22 50.11,+43 11 17.272,-25.16,-99.23,8.53,24.56
* nu.02 Boo,15 31 46.983,+40 53 57.606,-22.887,-12.041,7.3894,-16.6
* gam UMa,11 53 49.847,+53 41 41.135,107.68,11.01,39.21,-11.9
* lam Boo,14 16 23.019,+46 05 17.901,-187.33,159.05,32.94,-7.9
* eta UMa,13 47 32.438,+49 18 47.76,-121.17,-14.91,31.38,-13.4
* 24 CVn,13 34 27.259,+49 00 57.507,-128.38,28.05,18.09,-18.3
* 5 CVn,12 24 1.494,+51 33 44.125,12.955,11.323,8.6643,-14.2
* 10 UMa,09 00 38.381,+41 46 58.605,-474.31,-204.21,62.23,31.39
* bet Boo,15 01 56.762,+40 23 26.041,-40.15,-28.86,14.48,-18.4
* chi UMa,11 46 3.014,+47 46 45.863,-138.29,28.57,17.76,-9.02
* gam Boo,14 32 4.672,+38 18 29.704,-115.71,151.16,37.58,-32.4
V* Y CVn,12 45 7.826,+45 26 24.926,-2.968,13.063,3.2222,15.3
* psi UMa,11 09 39.809,+44 29 54.552,-62.02,-27.41,22.57,-3.39
* lam UMa,10 17 5.779,+42 54 51.89,-152.974,-49.462,14.4594,18.1
HD 82741,09 35 3.83,+39 37 17.374,-29.916,20.216,14.9133,-13.57
HD 77912,09 06 31.768,+38 27 7.97,-27.05,-14.729,4.6253,16.04
* alf Cet,03 02 16.773,+04 05 23.06,-10.41,-76.85,13.09,-26.08
* tau03 Eri,03 02 23.499,-23 37 28.098,-147.851,-55.251,36.9502,-9.8
HD 20468,03 18 43.826,+34 13 21.547,2.75,-8.87,2.77,0.99
HD 20644,03 20 20.361,+29 02 54.445,-7.71,-16.91,6.01,-3.09
* del Ari,03 11 37.765,+19 43 36.04,153.33,-8.28,19.22,22.81
* zet Ari,03 14 54.098,+21 02 40.009,-26.276,-73.782,11.8942,7.3
* kap01 Cet,03 19 21.696,+03 22 12.715,269.298,93.957,107.8023,19.359
* zet Eri,03 15 50.026,-08 49 11.037,-2.8,46.883,27.395,-5.8
* tau04 Eri,03 19 31.002,-21 45 28.305,51.89,32.92,10.71,41.7
* 15 Eri,03 18 22.105,-22 30 40.019,13.08,13.33,12.77,16.8
* alf For,03 12 4.527,-28 59 15.434,370.87,611.33,70.24,-16.917
* f Tau,03 30 52.378,+12 56 12.011,18.8,0.597,9.6907,14.2
* omi Tau,03 24 48.798,+09 01 43.931,-66.384,-74.413,15.0788,-19.79
* ksi Tau,03 27 10.141,+09 43 57.871,70.741,-43.156,16.7914,-2.0
* v Eri,03 30 37.058,-05 04 30.524,14.23,7.27,8.07,15.0
* eps Eri,03 32 55.844,-09 27 29.739,-974.758,20.876,310.5773,16.376
* o Per,03 42 22.646,+33 57 54.089,2.71,-5.91,3.09,22.0
* omi Per,03 44 19.132,+32 17 17.693,8.18,-10.43,2.91,12.2
* 17 Tau,03 44 52.537,+24 06 48.011,20.84,-46.06,8.06,6.98
* 10 Tau,03 36 52.384,+00 24 5.992,-232.563,-481.472,71.837,28.08
* del Eri,03 43 14.901,-09 45 48.211,-93.634,744.36,110.0254,-6.23
* tau05 Eri,03 33 47.276,-21 37 58.384,44.746,-27.676,10.1913,14.0
* del For,03 42 14.903,-31 56 18.104,4.815,13.836,3.8528,26.0
* h Eri,03 42 50.055,-37 18 48.66,-91.0,-70.67,17.7,9.9
* zet Per,03 54 7.922,+31 53 1.081,5.77,-9.92,4.34,20.6
* q Tau,03 45 12.496,+24 28 2.21,21.24,-40.56,7.97,5.66
* 20 Tau,03 45 49.607,+24 22 3.886,20.95,-45.98,8.51,7.4
* 23 Tau,03 46 19.574,+23 56 54.081,21.13,-43.65,8.58,6.2
* 27 Tau,03 49 9.743,+24 03 12.3,17.7,-44.18,8.53,8.5
* eta Tau,03 47 29.077,+24 06 18.488,19.34,-43.67,8.09,5.4
* 32 Eri,03 54 17.502,-02 57 17.044,26.0,-0.23,10.42,27.1
* pi. Eri,03 46 8.535,-12 06 5.719,56.125,59.445,6.3943,45.2
* tau06 Eri,03 46 50.887,-23 14 59.002,-159.92,-529.646,56.2281,7.19
* tau08 Eri,03 53 42.702,-24 36 44.021,30.202,-6.579,9.9585,20.5
* g Eri,03 49 27.245,-36 12 0.904,-49.18,-57.01,15.54,2.62
* f Eri,03 48 35.877,-37 37 12.542,74.44,-9.09,19.71,15.6
* eps Per,03 57 51.232,+40 00 36.775,14.06,-23.78,5.11,-1.0
* ksi Per,03 58 57.902,+35 47 27.713,3.62,1.74,2.62,65.4
* 37 Tau,04 04 41.715,+22 04 54.924,90.53,-59.47,17.43,9.52
* lam Tau,04 00 40.816,+12 29 25.226,-8.02,-14.42,6.74,17.8
* nu. Tau,04 03 9.38,+05 59 21.479,4.72,-3.78,27.89,-5.7
* gam Eri,03 58 1.767,-13 30 30.67,61.57,-113.11,16.04,60.81
* tau09 Eri,03 59 55.484,-24 00 58.377,11.786,16.74,9.9739,25.5
* f Per,04 14 53.332,+40 29 1.105,-1.0,-24.451,4.1967,-4.5
* ome02 Tau,04 17 15.661,+20 34 42.951,-40.375,-59.486,35.0804,15.0
* mu. Tau,04 15 32.057,+08 53 32.492,20.881,-22.789,6.6651,16.3
* omi01 Eri,04 11 51.94,-06 50 15.286,10.76,81.92,26.8,11.0
* omi02 Eri,04 15 16.32,-07 39 10.331,-2240.085,-3421.809,199.608,-42.269
* 39 Eri,04 14 23.688,-10 15 22.62,-8.047,-162.274,14.1704,5.85
* ups04 Eri,04 17 53.662,-33 47 54.057,62.52,-7.24,18.33,17.6
* 54 Per,04 20 24.638,+34 34 0.213,-24.314,-7.053,14.0327,-26.713
* phi Tau,04 20 21.216,+27 21 2.708,-27.923,-77.134,11.4462,1.85
* kap01 Tau,04 25 22.165,+22 17 37.938,105.1,-45.04,21.19,37.3
* ups Tau,04 26 18.464,+22 48 48.888,108.81,-46.8,21.21,32.2
* eps Tau,04 28 37.0,+19 10 49.563,107.526,-36.2,22.3654,38.42
* gam Tau,04 19 47.604,+15 37 39.515,115.46,-23.42,20.19,38.458
* del Tau,04 22 56.095,+17 32 33.05,106.212,-27.692,20.3092,37.91
* del02 Tau,04 24 5.761,+17 26 38.871,110.58,-32.809,21.6192,38.8
* del03 Tau,04 25 29.385,+17 55 40.463,107.316,-31.0,21.0865,39.418
* tet01 Tau,04 28 34.496,+15 57 43.849,104.97,-15.14,21.13,42.193
* 71 Tau,04 26 20.771,+15 37 5.884,87.435,-20.978,21.3958,38.3
* tet02 Tau,04 28 39.742,+15 52 15.149,106.148,-20.294,21.8125,38.9
* 75 Tau,04 28 26.37,+16 21 34.83,9.504,18.501,16.803,16.66
* pi. Tau,04 26 36.371,+14 42 49.615,-8.802,-30.335,8.0403,31.37
* 43 Eri,04 24 2.206,-34 01 0.658,67.572,48.489,11.127,24.1
* 58 Per,04 36 41.43,+41 15 53.321,-4.56,-17.84,4.09,9.8
* sig02 Tau,04 39 16.502,+15 55 4.703,83.17,-20.97,20.97,40.8
HD 28527,04 30 33.633,+16 11 38.45,104.889,-25.446,22.1875,38.1
* alf Tau,04 35 55.239,+16 30 33.488,63.45,-188.94,48.94,54.398
* rho Tau,04 33 50.918,+14 50 39.942,103.083,-24.427,21.6354,33.3
* c Tau,04 38 9.462,+12 30 39.013,104.695,-14.861,22.031,40.3
* 88 Tau,04 35 39.266,+10 09 38.712,47.937,-31.407,19.5061,23.97
* 45 Eri,04 31 52.669,-00 02 38.44,-1.469,-7.681,3.7428,15.22
* nu. Eri,04 36 19.141,-03 21 8.857,1.53,-5.01,4.83,14.9
* l Eri,04 38 10.824,-14 18 14.483,-80.036,-154.416,28.0378,43.33
* 54 Eri,04 40 26.511,-19 40 17.371,24.625,-93.608,7.5229,-32.9
* ups01 Eri,04 33 30.552,-29 45 59.371,-114.74,-272.059,26.0289,20.62
* ups02 Eri,04 35 33.038,-30 33 44.43,-49.27,-12.72,15.25,-4.0
* alf Cae,04 40 33.713,-41 51 49.505,-139.843,-75.677,49.062,0.65
* 1 Aur,04 49 54.639,+37 29 17.794,-36.89,38.85,6.48,-24.65
* tau Tau,04 42 14.699,+22 57 24.85,3.181,-17.028,8.231,14.6
* pi.02 Ori,04 50 36.723,+08 54 0.649,1.41,-29.91,14.53,24.4
* pi.03 Ori,04 49 50.411,+06 57 40.588,464.06,11.21,123.94,22.47
* pi.04 Ori,04 51 12.365,+05 36 18.372,-2.21,0.85,3.1,23.3
* mu. Eri,04 45 30.15,-03 15 16.777,15.94,-14.52,6.25,23.3
* eps Aur,05 01 58.134,+43 49 23.917,0.883,-3.065,0.9879,-10.4
* zet Aur,05 02 28.687,+41 04 33.02,9.45,-20.71,4.15,11.32
* 2 Aur,04 52 37.98,+36 42 11.477,-25.273,-3.715,5.2978,-17.24
* iot Aur,04 56 59.62,+33 09 57.938,3.817,-17.786,7.2491,17.78
* iot Tau,05 03 5.747,+21 35 23.86,67.391,-40.958,18.3851,38.3
* omi Ori,04 52 31.962,+14 15 2.312,1.422,-54.863,5.8125,-8.4
* omi02 Ori,04 56 22.276,+13 30 52.088,-74.408,-44.909,18.0904,2.54
* pi.01 Ori,04 54 53.729,+10 09 2.995,41.49,-128.73,28.04,11.1
