fecha_siniestro,fecha_pago,estado_siniestro,valor_pagado,reserva,edad,genero,uso_vehiculo,valor_asegurado,antiguedad_vehiculo,ciudad,marca,modelo
2022-07-22,2023-04-22,Cerrado,2004157,0,25,M,Particular,115915098,11,Medellin,Nissan,2019
2022-03-10,2022-12-10,Cerrado,2077568,0,23,M,Comercial,105399379,0,Medellin,Renault,2005
2023-08-01,2023-09-01,Cerrado,2255069,0,33,M,Particular,85838102,0,Cali,Nissan,2008
2022-02-05,2022-06-05,Cerrado,1423239,0,49,F,Particular,50062458,3,Cartagena,Mazda,2002
2024-02-16,2024-04-16,Cerrado,798183,0,41,F,Particular,57370217,14,Bogota,Mazda,2012
2021-11-09,2021-11-09,Cerrado,2423981,0,73,M,Particular,51915749,5,Cali,Toyota,2012
2021-11-01,2022-01-01,Cerrado,838196,0,63,M,Particular,88849648,0,Medellin,Toyota,2006
2021-07-30,2021-09-30,Cerrado,2922987,0,38,M,Particular,52184803,12,Barranquilla,Mazda,2018
2020-08-30,2020-10-30,Cerrado,645729,0,43,M,Particular,104722033,4,Medellin,Renault,2001
2022-11-04,2022-12-04,Cerrado,1378406,0,72,F,Particular,89952045,15,Barranquilla,Renault,2023
2021-07-06,2022-01-06,Cerrado,1847875,0,38,M,Particular,80527577,10,Cartagena,Renault,2001
2019-12-11,2020-04-11,Cerrado,1387866,0,61,M,Comercial,119153136,1,Bogota,Mazda,2009
2022-01-19,2024-01-19,Cerrado,1808617,0,63,M,Particular,32392293,5,Medellin,Mazda,2004
2021-12-05,2022-02-05,Cerrado,2192458,0,39,M,Particular,85282153,12,Medellin,Toyota,2012
2019-10-11,2020-05-11,Cerrado,1834537,0,34,F,Particular,36599822,12,Cartagena,Chevrolet,2019
2018-11-14,2020-10-14,Cerrado,39938319,0,31,M,Particular,87538533,6,Cartagena,Nissan,2006
2021-06-11,2021-06-11,Cerrado,2651377,0,28,F,Particular,80398836,13,Cartagena,Renault,2010
2019-11-15,2020-05-15,Cerrado,2288116,0,25,M,Comercial,31195609,10,Cartagena,Chevrolet,2020
2019-10-26,2020-03-26,Cerrado,838918,0,46,F,Particular,106723711,11,Medellin,Chevrolet,2011
2023-06-22,,Abierto,0,2642700,22,F,Particular,43505295,10,Medellin,Mazda,2006
2022-06-20,2023-02-20,Cerrado,38080014,0,36,M,Particular,36007979,2,Cali,Chevrolet,2013
2022-02-04,2022-06-04,Cerrado,2785810,0,18,F,Particular,95052016,18,Barranquilla,Nissan,2018
2021-02-10,2021-10-10,Cerrado,32950104,0,19,F,Particular,45467910,2,Barranquilla,Nissan,2005
2023-01-28,2023-08-28,Cerrado,1396861,0,34,M,Particular,48192424,10,Cartagena,Mazda,2020
2022-03-01,2022-07-01,Cerrado,1624994,0,37,M,Particular,118920314,5,Cali,Renault,2012
2024-10-25,,Abierto,0,2262269,50,M,Particular,47216986,13,Medellin,Toyota,2010
2019-07-18,2020-03-18,Cerrado,1444335,0,55,F,Particular,72275683,8,Barranquilla,Mazda,2023
2021-07-15,2021-07-15,Cerrado,1318584,0,48,M,Particular,71539855,12,Bogota,Toyota,2000
2022-06-25,2023-12-25,Cerrado,2853379,0,28,F,Particular,28407098,13,Cartagena,Nissan,2004
2019-11-30,2020-03-30,Cerrado,984815,0,31,M,Particular,79940883,14,Cali,Mazda,2007
2023-12-01,2024-08-01,Cerrado,2165531,0,47,F,Comercial,87434474,2,Cartagena,Chevrolet,2019
2018-01-02,2018-05-02,Cerrado,943350,0,60,M,Particular,37765382,19,Cartagena,Chevrolet,2017
2019-10-04,2021-06-04,Cerrado,1637483,0,60,M,Particular,21067466,2,Cali,Renault,2002
2024-03-17,2024-11-17,Cerrado,35110035,0,28,F,Comercial,44259684,17,Bogota,Toyota,2016
2022-05-09,2022-12-09,Cerrado,2694472,0,44,F,Particular,88943435,16,Cartagena,Renault,2010
2020-05-04,2023-03-04,Cerrado,1292577,0,21,M,Particular,74395626,0,Cartagena,Nissan,2016
2022-10-26,2023-01-26,Cerrado,2660809,0,73,M,Particular,99643500,7,Medellin,Chevrolet,2013
2024-08-29,2024-08-29,Cerrado,2024064,0,66,M,Particular,92655016,16,Cartagena,Toyota,2020
2022-07-20,2023-01-20,Cerrado,2278705,0,66,M,Particular,82050922,13,Bogota,Toyota,2007
2021-02-27,2021-07-27,Cerrado,2594470,0,33,M,Particular,97927182,15,Cali,Chevrolet,2013
2020-12-12,2021-05-12,Cerrado,1538065,0,39,F,Particular,86897851,16,Barranquilla,Mazda,2010
2022-09-04,2023-04-04,Cerrado,724129,0,22,F,Particular,99978728,10,Cartagena,Mazda,2011
2022-08-23,2023-03-23,Cerrado,2121791,0,64,M,Particular,41696130,11,Cartagena,Chevrolet,2022
2022-09-30,2023-01-30,Cerrado,2016562,0,57,F,Particular,119205330,2,Medellin,Toyota,2004
2021-12-10,2023-06-10,Cerrado,31114331,0,46,F,Particular,95924447,6,Barranquilla,Chevrolet,2017
2024-04-13,2024-12-13,Cerrado,632323,0,74,M,Comercial,105534770,15,Bogota,Mazda,2016
2020-04-15,2022-02-15,Cerrado,1629128,0,29,F,Particular,33557989,6,Barranquilla,Chevrolet,2020
2018-07-22,2020-08-22,Cerrado,31134694,0,54,F,Particular,80659819,14,Barranquilla,Toyota,2005
2018-05-03,2018-07-03,Cerrado,942744,0,59,M,Particular,103434577,10,Bogota,Renault,2020
2019-02-05,2019-10-05,Cerrado,1623027,0,59,M,Particular,118884361,13,Barranquilla,Chevrolet,2013
2020-02-06,2020-05-06,Cerrado,1538101,0,26,M,Particular,25684673,15,Medellin,Toyota,2002
2018-10-21,2019-12-21,Cerrado,2498329,0,24,M,Particular,26659751,5,Bogota,Nissan,2005
2024-05-16,,Abierto,0,1330937,18,M,Particular,29957228,9,Bogota,Renault,2008
2018-07-17,2018-09-17,Cerrado,2077074,0,71,M,Particular,75201327,13,Medellin,Nissan,2010
2023-04-15,,Abierto,0,2098775,68,M,Particular,33569819,4,Barranquilla,Toyota,2011
2024-01-01,2024-09-01,Cerrado,1053668,0,44,M,Comercial,73928550,15,Medellin,Renault,2022
2019-09-01,2022-03-01,Cerrado,775207,0,65,M,Comercial,73373351,4,Cali,Renault,2004
2021-02-21,2021-04-21,Cerrado,2987493,0,50,F,Particular,87678606,14,Cartagena,Nissan,2001
2018-07-06,2020-02-06,Cerrado,1188696,0,27,M,Particular,88702344,10,Bogota,Toyota,2012
2024-11-16,,Abierto,0,2509729,26,M,Comercial,93424804,11,Bogota,Chevrolet,2021
2022-11-30,2023-05-30,Cerrado,1657935,0,72,F,Particular,115360239,8,Cartagena,Mazda,2014
2019-10-22,2020-10-22,Cerrado,756470,0,46,F,Particular,40183589,15,Barranquilla,Toyota,2013
2023-05-10,2023-12-10,Cerrado,1849529,0,72,M,Comercial,98433881,4,Barranquilla,Toyota,2011
2024-09-16,,Abierto,0,2577070,30,M,Comercial,27262214,5,Cartagena,Mazda,2023
2021-10-01,2022-01-01,Cerrado,36889744,0,22,F,Particular,84967860,5,Cartagena,Chevrolet,2013
2023-06-10,2024-06-10,Cerrado,2990399,0,48,M,Particular,106915899,9,Cartagena,Mazda,2001
2022-03-15,2022-11-15,Cerrado,1563503,0,52,F,Particular,25695832,8,Medellin,Mazda,2001
2018-05-27,2019-08-27,Cerrado,32848603,0,25,M,Particular,59313561,10,Cartagena,Renault,2013
2022-10-01,2023-02-01,Cerrado,1051621,0,21,M,Particular,75415950,1,Barranquilla,Nissan,2022
2023-01-18,2023-05-18,Cerrado,2400803,0,66,M,Particular,35023987,8,Medellin,Toyota,2005
2019-05-04,2019-05-04,Cerrado,2906620,0,61,F,Particular,91193055,15,Medellin,Nissan,2007
2023-05-14,2024-02-14,Cerrado,2613301,0,55,M,Particular,47897737,3,Bogota,Chevrolet,2022
2022-07-22,2022-11-22,Cerrado,813472,0,31,F,Particular,22806991,13,Cali,Nissan,2020
2024-07-13,2024-11-13,Cerrado,2608071,0,28,M,Particular,98429642,16,Barranquilla,Nissan,2000
2019-10-03,2020-06-03,Cerrado,2157609,0,51,F,Particular,91795446,6,Cali,Toyota,2008
2022-12-08,2023-03-08,Cerrado,2158484,0,26,F,Particular,29218158,5,Barranquilla,Chevrolet,2016
2024-11-25,,Abierto,0,2664915,28,M,Comercial,59263242,17,Cartagena,Chevrolet,2000
2023-05-24,2023-11-24,Cerrado,37687703,0,43,M,Particular,73570029,10,Cali,Nissan,2001
2024-01-08,,Abierto,0,2440033,19,F,Particular,118167341,0,Barranquilla,Mazda,2004
2021-12-09,2021-12-09,Cerrado,794149,0,20,M,Particular,37118031,19,Bogota,Renault,2005
2022-06-23,2022-10-23,Cerrado,35924423,0,34,M,Particular,36108465,13,Cartagena,Toyota,2022
2018-09-20,2019-01-20,Cerrado,1548571,0,22,F,Particular,73259689,10,Barranquilla,Renault,2020
2022-11-23,2023-08-23,Cerrado,1155295,0,52,M,Particular,41951654,14,Cali,Renault,2012
2024-01-01,2024-03-01,Cerrado,741000,0,67,M,Particular,112739381,16,Medellin,Toyota,2022
2024-07-21,2024-11-21,Cerrado,2909516,0,32,F,Particular,33246384,0,Barranquilla,Toyota,2003
2019-09-16,2021-09-16,Cerrado,2444435,0,52,M,Particular,101268044,0,Medellin,Toyota,2000
2020-10-13,2020-11-13,Cerrado,1349453,0,63,M,Comercial,99136137,14,Barranquilla,Renault,2010
2020-05-30,2021-02-28,Cerrado,2717774,0,31,F,Comercial,81655927,0,Bogota,Nissan,2013
2023-08-12,2024-04-12,Cerrado,34638131,0,67,M,Comercial,61611275,7,Bogota,Nissan,2018
2021-08-20,2021-09-20,Cerrado,2865209,0,35,M,Particular,102801089,18,Barranquilla,Renault,2020
2024-04-20,2024-12-20,Cerrado,2615956,0,35,M,Comercial,46908286,17,Medellin,Chevrolet,2014
2019-03-29,2019-10-29,Cerrado,1501513,0,29,F,Particular,68036436,14,Medellin,Toyota,2021
2021-03-29,2021-06-29,Cerrado,752436,0,62,M,Comercial,119550550,18,Medellin,Nissan,2021
2023-08-19,2023-11-19,Cerrado,2978981,0,62,F,Comercial,72782601,6,Cartagena,Nissan,2018
2022-08-10,2023-10-10,Cerrado,2554283,0,42,M,Particular,114653173,17,Bogota,Mazda,2013
2024-03-05,2024-05-05,Cerrado,2426165,0,49,F,Particular,81398188,12,Cartagena,Mazda,2014
2021-02-28,2021-08-28,Cerrado,2330297,0,37,M,Comercial,57843444,17,Cartagena,Mazda,2007
2019-02-08,2019-10-08,Cerrado,1805309,0,73,M,Particular,54580770,6,Cali,Toyota,2002
2024-01-09,2024-02-09,Cerrado,2412536,0,68,F,Particular,76786048,18,Cali,Toyota,2012
2023-10-03,,Abierto,0,929859,42,M,Particular,103434400,16,Cali,Renault,2004
2022-08-24,2022-11-24,Cerrado,1403917,0,69,F,Particular,70137704,8,Cali,Toyota,2018
2019-09-20,2019-12-20,Cerrado,2521895,0,69,F,Particular,37429783,19,Barranquilla,Renault,2015
2019-08-10,2020-04-10,Cerrado,1271583,0,73,F,Particular,48393851,18,Cali,Toyota,2020
2022-07-07,2022-07-07,Cerrado,632721,0,29,M,Particular,27697440,10,Cali,Mazda,2019
2021-12-14,2022-07-14,Cerrado,1578810,0,28,F,Comercial,56907584,1,Medellin,Renault,2004
2021-12-16,2024-01-16,Cerrado,38351415,0,62,M,Particular,118278147,7,Cali,Chevrolet,2022
2018-04-14,2018-07-14,Cerrado,1343199,0,20,M,Particular,90122880,17,Medellin,Chevrolet,2003
2018-09-11,2019-01-11,Cerrado,959245,0,45,M,Particular,69165789,7,Cartagena,Chevrolet,2019
2022-02-05,2022-04-05,Cerrado,1927630,0,73,M,Comercial,96448284,15,Bogota,Chevrolet,2009
2018-04-09,2019-04-09,Cerrado,1561330,0,70,M,Comercial,110279125,0,Cali,Toyota,2021
2024-01-10,2024-03-10,Cerrado,2419667,0,38,M,Particular,50271694,15,Cali,Toyota,2016
2023-02-28,2023-06-28,Cerrado,1270171,0,70,F,Particular,102460500,6,Cartagena,Mazda,2004
2023-04-04,2023-11-04,Cerrado,1042148,0,43,F,Particular,103555632,7,Barranquilla,Toyota,2015
2020-05-27,2020-10-27,Cerrado,1967026,0,69,F,Particular,107070642,6,Cartagena,Chevrolet,2019
2018-12-04,2018-12-04,Cerrado,1658825,0,46,F,Particular,82021839,6,Cartagena,Mazda,2003
2020-08-14,2023-01-14,Cerrado,1189923,0,19,F,Particular,73768254,11,Cali,Renault,2006
2022-09-01,2023-01-01,Cerrado,1897109,0,38,M,Particular,58614310,5,Medellin,Toyota,2018
2018-06-10,2018-11-10,Cerrado,1462121,0,22,F,Particular,106354923,17,Cali,Mazda,2002
2022-05-23,2022-07-23,Cerrado,2770980,0,18,M,Comercial,95413871,17,Medellin,Toyota,2006
2019-02-02,2020-08-02,Cerrado,656682,0,43,F,Comercial,112649149,10,Cali,Nissan,2000
2021-07-24,2021-10-24,Cerrado,38984723,0,70,F,Comercial,101986746,10,Bogota,Mazda,2012
2020-03-26,2020-03-26,Cerrado,33365277,0,29,M,Particular,49550558,10,Cali,Renault,2003
