ClienteID,Edad,Genero,Ciudad,UsoVehiculo,MarcaAuto,ModeloAuto,ValorAsegurado,AntiguedadVehiculo
45,38,F,Bogota,Particular,Nissan,2006,56921280,10
46,26,M,Medellin,Particular,Hyundai,2016,112415776,14
47,56,F,Bucaramanga,Particular,Kia,2015,122926004,4
48,35,F,Cali,Particular,Kia,2013,93964547,2
49,21,F,Bogota,Comercial,Ford,2009,141388151,17
50,42,M,Manizales,Particular,Renault,2010,40104711,7
51,31,F,Bogota,Particular,Hyundai,2011,21109583,5
52,67,F,Manizales,Comercial,Mazda,2018,92333589,12
53,26,F,Cali,Particular,Hyundai,2022,136389577,18
54,43,F,Bogota,Particular,Nissan,2019,21500744,9
55,19,M,Bucaramanga,Particular,Kia,2005,20947066,0
56,37,M,Manizales,Particular,Toyota,2020,141759477,9
57,45,F,Bogota,Comercial,Ford,2019,62179014,10
58,64,F,Bogota,Particular,Renault,2013,30768615,4
59,24,F,Medellin,Particular,Chevrolet,2011,89374332,0
60,61,M,Bucaramanga,Particular,Chevrolet,2016,128579024,0
61,25,M,Bucaramanga,Particular,Toyota,2013,48811037,18
62,64,F,Medellin,Particular,Hyundai,2016,143685962,17
63,52,F,Manizales,Particular,Kia,2015,99074218,4
64,31,M,Barranquilla,Particular,Hyundai,2007,75879862,11
65,34,F,Cali,Particular,Renault,2017,120090638,4
66,53,F,Bucaramanga,Particular,Mazda,2009,57836102,4
67,67,M,Barranquilla,Particular,Chevrolet,2022,25184572,16
68,57,M,Manizales,Comercial,Hyundai,2015,139284546,3
69,21,M,Cali,Particular,Kia,2007,86317974,16
70,19,M,Bucaramanga,Particular,Toyota,2013,92722202,11
71,23,M,Bogota,Particular,Ford,2012,76567901,19
72,59,F,Bucaramanga,Particular,Nissan,2012,37707951,16
73,21,M,Cali,Particular,Nissan,2017,65119420,13
74,46,M,Barranquilla,Particular,Chevrolet,2015,97108751,16
75,35,M,Bogota,Particular,Chevrolet,2010,109879181,19
76,43,M,Cali,Particular,Mazda,2017,138986675,13
77,61,M,Manizales,Particular,Hyundai,2015,45770581,16
78,51,M,Cali,Comercial,Mazda,2018,121825393,13
79,27,F,Bucaramanga,Particular,Kia,2018,63939731,14
80,53,M,Manizales,Particular,Kia,2023,104843273,18
81,31,F,Medellin,Particular,Ford,2009,100443961,4
82,48,F,Medellin,Particular,Ford,2019,149848092,16
83,65,M,Bogota,Particular,Hyundai,2017,84172675,0
84,32,M,Cali,Particular,Chevrolet,2020,77849310,6
85,25,F,Barranquilla,Particular,Renault,2023,84689357,5
86,31,F,Bogota,Particular,Mazda,2021,106384004,14
87,40,F,Manizales,Particular,Nissan,2020,73672997,16
88,57,M,Bogota,Particular,Chevrolet,2018,134829891,0
89,38,F,Bucaramanga,Particular,Toyota,2021,83836533,10
90,33,M,Manizales,Particular,Kia,2011,39810776,0
91,62,M,Barranquilla,Particular,Nissan,2010,32781067,9
92,35,F,Cali,Particular,Kia,2009,89062707,8
93,64,M,Manizales,Particular,Chevrolet,2005,88262238,4
94,41,M,Cali,Particular,Chevrolet,2020,127941706,13
95,43,F,Cali,Particular,Toyota,2018,68744166,2
96,42,F,Bogota,Particular,Kia,2006,36279519,16
97,62,M,Bucaramanga,Particular,Mazda,2008,49819722,11
98,58,F,Bogota,Particular,Mazda,2005,87970118,6
99,46,M,Medellin,Particular,Chevrolet,2006,56372343,11
100,32,F,Medellin,Particular,Hyundai,2013,64977985,6
101,62,F,Cali,Particular,Kia,2005,133458496,12
102,18,F,Bucaramanga,Particular,Renault,2020,36561752,13
103,42,F,Manizales,Particular,Kia,2018,46637128,16
104,24,M,Cali,Particular,Ford,2017,149925165,15
105,26,F,Manizales,Particular,Mazda,2023,75702131,7
106,41,M,Cali,Particular,Mazda,2019,23134307,8
107,18,M,Bogota,Particular,Renault,2022,106847836,17
108,61,F,Cali,Particular,Mazda,2007,90054153,3
109,25,F,Cali,Comercial,Renault,2019,54002522,7
110,41,F,Bucaramanga,Particular,Mazda,2019,71956562,18
111,28,F,Bucaramanga,Particular,Toyota,2009,141085556,16
112,68,F,Manizales,Particular,Renault,2017,90086260,0
113,34,M,Bucaramanga,Particular,Hyundai,2020,66857491,6
114,25,F,Cali,Particular,Kia,2019,45304692,18
115,52,M,Bucaramanga,Particular,Ford,2018,29296834,9
116,52,M,Bucaramanga,Particular,Ford,2013,147751445,13
117,50,M,Barranquilla,Particular,Mazda,2022,70237111,1
118,22,M,Barranquilla,Particular,Chevrolet,2021,111138517,19
119,59,F,Medellin,Particular,Renault,2009,142831324,16
120,56,F,Bogota,Comercial,Renault,2019,52749078,1
121,58,M,Bogota,Particular,Renault,2015,73817255,8
122,45,M,Bucaramanga,Particular,Mazda,2016,118171254,14
123,24,F,Medellin,Comercial,Kia,2011,129998809,13
124,26,M,Medellin,Particular,Chevrolet,2013,91488430,16
125,25,F,Manizales,Particular,Renault,2007,102500212,9
126,29,M,Barranquilla,Particular,Nissan,2021,23833534,5
127,51,F,Medellin,Particular,Renault,2013,148731989,0
128,50,M,Cali,Particular,Renault,2015,82550949,9
129,65,M,Manizales,Particular,Toyota,2018,49387400,4
130,40,M,Bucaramanga,Particular,Renault,2014,125094100,7
131,41,F,Cali,Particular,Chevrolet,2008,78007139,13
132,54,F,Bogota,Particular,Renault,2020,90522545,5
133,52,F,Barranquilla,Particular,Toyota,2020,30217148,0
134,61,M,Cali,Particular,Chevrolet,2016,139150063,12
135,57,M,Bucaramanga,Comercial,Chevrolet,2010,119209955,11
136,39,M,Cali,Particular,Renault,2011,97220703,6
137,44,M,Cali,Comercial,Hyundai,2012,74913375,12
138,52,M,Medellin,Particular,Ford,2010,29990269,13
139,18,M,Barranquilla,Particular,Chevrolet,2011,122716641,2
140,52,F,Bogota,Particular,Ford,2013,112547900,2
141,54,F,Bucaramanga,Particular,Hyundai,2020,115811478,14
142,64,F,Manizales,Particular,Chevrolet,2017,145870197,12
143,31,M,Manizales,Particular,Toyota,2019,66181839,7
144,20,F,Bucaramanga,Particular,Nissan,2022,41109989,13
145,18,M,Bogota,Particular,Mazda,2008,42300912,2
146,22,M,Bucaramanga,Comercial,Renault,2009,24567042,7
147,43,F,Medellin,Particular,Mazda,2012,126062316,13
148,31,M,Manizales,Particular,Ford,2008,107387299,17
149,56,M,Manizales,Particular,Ford,2021,120763464,11
150,44,M,Cali,Particular,Chevrolet,2021,76790906,10
151,26,M,Medellin,Comercial,Mazda,2006,75573979,9
152,32,M,Manizales,Particular,Renault,2020,20321751,0
153,32,F,Medellin,Particular,Ford,2023,134914800,7
154,43,F,Medellin,Particular,Nissan,2011,109114028,3
155,59,M,Bogota,Particular,Renault,2015,50174171,18
156,30,M,Manizales,Comercial,Nissan,2005,88880326,8
157,68,F,Barranquilla,Comercial,Chevrolet,2022,30665049,0
158,49,F,Bogota,Particular,Chevrolet,2011,125117485,12
159,56,F,Bogota,Comercial,Hyundai,2017,75854400,11
160,66,M,Medellin,Particular,Kia,2007,24021864,6
161,69,F,Barranquilla,Particular,Nissan,2013,140596332,6
162,49,F,Bogota,Particular,Ford,2021,149255016,12
163,21,M,Barranquilla,Particular,Ford,2006,112915618,12
164,47,M,Manizales,Particular,Nissan,2019,138395729,16
165,54,F,Medellin,Particular,Mazda,2013,137226487,14
166,40,M,Bogota,Particular,Hyundai,2011,101711829,3
167,56,F,Barranquilla,Particular,Nissan,2023,32548300,6
168,62,F,Bucaramanga,Particular,Ford,2015,88524431,5
169,32,M,Bogota,Particular,Mazda,2022,88993582,5
170,60,M,Bogota,Particular,Ford,2021,99519858,10
171,46,F,Bogota,Particular,Renault,2008,38528092,6
172,53,M,Barranquilla,Particular,Chevrolet,2006,56347668,8
173,30,M,Cali,Particular,Mazda,2021,140641513,1
174,49,M,Manizales,Particular,Kia,2005,99498632,6
175,24,M,Bogota,Particular,Ford,2017,112444636,0
176,68,M,Bucaramanga,Particular,Renault,2014,137853899,6
177,39,M,Bucaramanga,Particular,Toyota,2021,142888455,8
178,45,M,Medellin,Particular,Renault,2021,105508425,15
179,19,F,Cali,Particular,Hyundai,2015,30956257,12
180,59,M,Cali,Particular,Kia,2013,28280238,5
181,62,F,Barranquilla,Particular,Renault,2007,58835411,13
182,23,M,Medellin,Particular,Kia,2014,73982927,13
183,45,F,Barranquilla,Particular,Chevrolet,2021,131737769,16
184,45,M,Medellin,Particular,Toyota,2020,37903980,19
185,61,F,Manizales,Particular,Nissan,2020,148702858,3
186,61,M,Cali,Particular,Kia,2019,64984888,1
187,37,F,Manizales,Particular,Hyundai,2017,105253871,15
188,47,M,Barranquilla,Particular,Hyundai,2006,25241293,0
189,28,M,Medellin,Particular,Mazda,2010,26928734,11
190,45,F,Cali,Particular,Ford,2007,29363326,6
191,42,F,Cali,Particular,Toyota,2005,112887463,15
192,56,M,Bogota,Particular,Chevrolet,2021,129081330,3
193,50,F,Barranquilla,Comercial,Chevrolet,2005,126577569,5
194,18,F,Bogota,Particular,Kia,2015,71665283,11
195,44,M,Cali,Particular,Hyundai,2008,81778609,15
196,69,F,Barranquilla,Particular,Hyundai,2015,62892537,12
197,30,M,Barranquilla,Particular,Hyundai,2017,138879023,11
198,58,F,Manizales,Particular,Nissan,2021,100718214,8
199,20,M,Bucaramanga,Particular,Chevrolet,2017,114699903,3
200,56,F,Medellin,Particular,Hyundai,2021,140270505,1
201,23,M,Bucaramanga,Comercial,Mazda,2006,59474277,1
202,25,M,Bucaramanga,Comercial,Renault,2006,92644032,1
203,44,F,Cali,Particular,Hyundai,2022,131939377,14
204,26,F,Manizales,Comercial,Mazda,2010,114027385,0
205,54,M,Medellin,Particular,Mazda,2006,141212461,5
206,50,M,Bucaramanga,Particular,Renault,2015,122191959,4
207,68,F,Bucaramanga,Particular,Ford,2021,35554601,18
208,59,F,Barranquilla,Particular,Chevrolet,2013,22021467,10
209,61,F,Cali,Particular,Hyundai,2009,68226583,18
210,41,F,Bucaramanga,Particular,Toyota,2019,57046092,11
211,32,F,Medellin,Particular,Mazda,2021,144203145,0
212,49,F,Bogota,Particular,Ford,2014,128157721,12
213,49,M,Bogota,Particular,Mazda,2010,132881533,14
214,41,F,Cali,Comercial,Nissan,2017,120661622,0
215,58,F,Bogota,Comercial,Renault,2020,130714241,12
216,69,F,Barranquilla,Particular,Toyota,2006,50481632,9
217,66,F,Barranquilla,Particular,Ford,2009,79232603,13
218,66,M,Medellin,Particular,Mazda,2021,68975194,7
219,69,M,Manizales,Particular,Hyundai,2011,46815173,13
220,29,M,Cali,Comercial,Chevrolet,2021,52395964,4
221,56,M,Cali,Particular,Mazda,2009,70792889,19
222,19,F,Bogota,Particular,Chevrolet,2010,133835258,14
223,20,M,Bucaramanga,Particular,Mazda,2014,108980018,11
224,66,F,Bucaramanga,Particular,Mazda,2009,65216336,15
225,54,F,Manizales,Particular,Ford,2018,130771455,0
226,66,M,Bucaramanga,Particular,Hyundai,2018,145624800,17
227,34,M,Manizales,Particular,Ford,2006,133464142,3
228,66,F,Medellin,Particular,Chevrolet,2013,57004461,5
229,19,M,Cali,Particular,Toyota,2022,69011202,18
230,19,M,Bogota,Particular,Kia,2022,148360265,16
231,45,F,Medellin,Particular,Hyundai,2013,99781724,11
232,40,F,Barranquilla,Particular,Chevrolet,2009,81795633,2
233,54,F,Barranquilla,Particular,Chevrolet,2022,103240483,11
234,49,F,Barranquilla,Particular,Chevrolet,2016,103438259,10
235,50,F,Manizales,Particular,Nissan,2010,128393515,16
236,18,M,Manizales,Particular,Kia,2021,46958421,4
237,36,F,Cali,Particular,Hyundai,2018,86982366,7
238,19,F,Barranquilla,Particular,Nissan,2014,44092134,5
239,61,F,Manizales,Particular,Kia,2023,74065421,3
240,43,M,Manizales,Comercial,Mazda,2007,92296129,12
241,49,F,Bucaramanga,Particular,Renault,2014,111449008,18
242,23,F,Manizales,Comercial,Kia,2018,20888773,6
243,49,M,Barranquilla,Particular,Mazda,2019,70882130,10
244,21,F,Medellin,Particular,Kia,2020,25047450,19
245,28,F,Barranquilla,Comercial,Chevrolet,2010,90455749,9
246,34,F,Bucaramanga,Particular,Renault,2018,34811137,14
247,55,M,Barranquilla,Particular,Renault,2008,21814521,14
248,41,M,Bogota,Particular,Toyota,2017,28121932,9
249,22,F,Bucaramanga,Particular,Mazda,2012,120995574,3
250,69,F,Cali,Particular,Nissan,2013,128963886,0
251,51,F,Barranquilla,Particular,Nissan,2015,72683963,11
252,23,M,Manizales,Particular,Toyota,2009,67141513,8
253,39,M,Medellin,Particular,Kia,2009,108622268,10
254,28,M,Barranquilla,Particular,Kia,2022,115446311,14
255,65,M,Medellin,Particular,Nissan,2020,118522116,6
256,33,M,Bogota,Comercial,Kia,2023,119196685,7
257,50,M,Cali,Particular,Mazda,2013,73534942,4
258,26,F,Manizales,Particular,Kia,2015,44288344,1
259,23,M,Bucaramanga,Particular,Ford,2015,143290309,1
260,33,F,Bucaramanga,Comercial,Renault,2018,88973899,9
261,46,M,Cali,Particular,Ford,2014,99778242,16
262,20,F,Bogota,Particular,Renault,2013,132037486,12
263,37,M,Bogota,Particular,Hyundai,2009,87705073,8
264,53,F,Barranquilla,Particular,Kia,2015,113426838,15
265,36,F,Bogota,Particular,Kia,2013,82950848,6
266,43,F,Barranquilla,Particular,Toyota,2017,75395406,11
267,20,M,Medellin,Particular,Renault,2023,119473136,3
268,36,M,Cali,Particular,Renault,2012,93471463,3
269,37,M,Medellin,Particular,Chevrolet,2008,25928524,2
270,49,F,Medellin,Particular,Chevrolet,2016,82788005,8
271,24,F,Medellin,Particular,Hyundai,2011,117411725,6
272,69,F,Medellin,Particular,Renault,2012,36417682,1
273,58,M,Bucaramanga,Particular,Hyundai,2023,48551304,10
274,50,M,Bogota,Particular,Kia,2012,49228379,17
275,57,F,Cali,Particular,Kia,2023,40939552,6
276,56,M,Cali,Particular,Renault,2008,140261620,14
277,35,M,Manizales,Particular,Mazda,2014,53935136,19
278,57,M,Medellin,Particular,Ford,2019,30917804,17
279,18,M,Cali,Particular,Hyundai,2012,77927974,9
280,28,F,Barranquilla,Particular,Mazda,2019,101923587,17
281,45,M,Cali,Particular,Ford,2020,144756305,4
282,42,M,Medellin,Particular,Ford,2011,75705369,11
283,67,F,Cali,Particular,Kia,2012,26441186,2
284,40,F,Bogota,Comercial,Toyota,2017,90912245,16
285,48,M,Medellin,Particular,Nissan,2017,127975014,19
286,47,M,Bucaramanga,Particular,Hyundai,2006,22802897,19
287,59,M,Bogota,Particular,Kia,2019,128214688,3
288,52,M,Cali,Particular,Chevrolet,2010,95190161,2
289,24,F,Bucaramanga,Particular,Renault,2022,111133815,19
290,33,F,Manizales,Particular,Chevrolet,2011,126627996,6
291,43,F,Bogota,Particular,Nissan,2006,111652840,13
292,65,M,Manizales,Particular,Nissan,2006,126815879,18
293,69,M,Barranquilla,Comercial,Hyundai,2005,130882736,9
294,66,F,Bogota,Particular,Chevrolet,2018,121441089,8
295,19,M,Bucaramanga,Comercial,Toyota,2006,135733955,12
296,18,F,Manizales,Particular,Nissan,2014,74930766,7
297,65,F,Barranquilla,Particular,Ford,2008,103396807,4
298,29,F,Manizales,Particular,Hyundai,2008,97651037,18
299,22,F,Cali,Comercial,Mazda,2011,104705582,1
300,54,F,Medellin,Comercial,Renault,2009,69654392,3
301,49,F,Manizales,Particular,Ford,2016,23525798,13
302,26,F,Cali,Particular,Mazda,2016,29085143,1
303,58,M,Medellin,Comercial,Toyota,2010,120906856,10
304,52,F,Medellin,Particular,Kia,2022,138875379,8
305,36,F,Bucaramanga,Particular,Nissan,2006,111901067,17
306,65,M,Barranquilla,Particular,Renault,2023,110016803,3
307,33,F,Barranquilla,Particular,Chevrolet,2020,58219277,6
308,20,M,Bogota,Particular,Hyundai,2006,40502506,2
309,37,F,Cali,Particular,Renault,2021,42001119,16
310,41,M,Bucaramanga,Particular,Kia,2011,77682738,5
311,50,M,Manizales,Comercial,Nissan,2011,52723126,0
312,41,M,Cali,Particular,Ford,2016,39120461,10
313,69,F,Manizales,Particular,Mazda,2015,123022463,1
314,28,M,Manizales,Particular,Nissan,2021,102069659,5
315,66,F,Manizales,Comercial,Kia,2015,119322410,17
316,25,F,Bogota,Particular,Chevrolet,2012,89053587,14
317,53,F,Bogota,Particular,Hyundai,2010,72766092,10
318,55,F,Bucaramanga,Particular,Nissan,2010,125660589,12
319,57,F,Bogota,Particular,Hyundai,2019,136663376,4
320,37,F,Bucaramanga,Particular,Chevrolet,2016,122055965,19
321,52,F,Bogota,Particular,Hyundai,2013,52940463,7
322,65,M,Barranquilla,Particular,Ford,2017,131652455,14
323,42,F,Bucaramanga,Particular,Renault,2019,53562000,17
324,52,F,Barranquilla,Particular,Renault,2019,98046175,10
325,42,M,Barranquilla,Particular,Chevrolet,2017,109678635,1
326,46,F,Bucaramanga,Particular,Chevrolet,2013,116584315,11
327,35,M,Cali,Particular,Kia,2015,37065554,19
328,63,M,Medellin,Particular,Hyundai,2015,108108104,16
329,35,F,Bogota,Comercial,Nissan,2013,53196202,18
330,19,F,Manizales,Particular,Toyota,2021,41618239,8
331,52,M,Bogota,Particular,Mazda,2010,24271065,13
332,33,F,Manizales,Particular,Ford,2009,145694587,2
333,58,M,Cali,Particular,Chevrolet,2007,105354624,19
334,53,M,Medellin,Particular,Ford,2010,106952752,12
335,50,F,Cali,Particular,Kia,2021,134700050,14
336,21,M,Medellin,Particular,Chevrolet,2015,84503916,18
337,50,F,Bucaramanga,Particular,Nissan,2008,39890443,3
338,31,F,Bucaramanga,Particular,Ford,2016,53052790,7
339,38,M,Manizales,Particular,Chevrolet,2014,20735467,17
340,65,M,Barranquilla,Particular,Renault,2021,96042267,13
341,37,F,Barranquilla,Particular,Toyota,2010,25472364,0
342,25,F,Manizales,Particular,Hyundai,2022,119191781,7
343,24,F,Bucaramanga,Particular,Toyota,2023,69827230,7
344,20,M,Manizales,Particular,Ford,2019,82042427,18
345,34,F,Barranquilla,Particular,Chevrolet,2016,133750220,0
346,50,M,Manizales,Comercial,Hyundai,2023,126147060,3
347,65,M,Bucaramanga,Particular,Kia,2009,24894314,2
348,29,M,Cali,Particular,Ford,2022,20292404,17
349,68,F,Bogota,Comercial,Chevrolet,2016,115027124,5
350,39,M,Bucaramanga,Particular,Toyota,2019,114915082,18
351,39,F,Manizales,Particular,Mazda,2014,143225995,11
352,63,M,Bucaramanga,Particular,Toyota,2023,72887766,17
353,47,F,Bucaramanga,Particular,Renault,2013,79158073,3
354,55,F,Barranquilla,Particular,Mazda,2010,114207534,7
355,55,M,Manizales,Particular,Ford,2018,118165340,18
356,62,F,Barranquilla,Particular,Renault,2005,104616254,16
357,68,M,Manizales,Particular,Chevrolet,2005,78445192,15
358,25,M,Barranquilla,Comercial,Toyota,2015,134164703,5
359,44,M,Barranquilla,Particular,Ford,2007,109082306,0
360,44,M,Cali,Particular,Chevrolet,2009,106299519,17
361,51,M,Bucaramanga,Comercial,Ford,2012,113669894,10
362,38,M,Cali,Particular,Hyundai,2022,37017221,0
363,47,M,Barranquilla,Particular,Ford,2009,41967266,18
364,50,F,Cali,Comercial,Renault,2016,67959258,2
365,45,M,Bucaramanga,Particular,Kia,2022,98282678,19
366,64,M,Bucaramanga,Particular,Mazda,2016,32478875,14
367,50,F,Barranquilla,Particular,Toyota,2012,40288278,5
368,22,F,Bucaramanga,Particular,Kia,2013,28225673,1
369,65,M,Cali,Particular,Renault,2019,137472592,16
370,36,M,Medellin,Particular,Ford,2007,38755381,13
371,21,M,Bucaramanga,Particular,Kia,2019,134932797,16
372,52,F,Cali,Particular,Renault,2008,50769934,2
373,66,M,Cali,Particular,Hyundai,2020,37612173,10
374,34,F,Cali,Particular,Hyundai,2023,72146954,19
375,61,M,Bucaramanga,Comercial,Kia,2022,108672054,1
376,45,M,Medellin,Particular,Nissan,2020,125969756,4
377,47,F,Barranquilla,Particular,Nissan,2016,49808529,8
378,46,M,Barranquilla,Particular,Kia,2016,131023129,0
379,63,M,Bucaramanga,Particular,Ford,2008,113879342,14
380,23,M,Bucaramanga,Particular,Toyota,2019,59562738,6
381,52,F,Bogota,Comercial,Nissan,2023,63836120,18
382,58,M,Manizales,Particular,Renault,2022,63828135,9
383,54,M,Medellin,Particular,Hyundai,2015,108394154,18
384,41,F,Cali,Particular,Toyota,2019,78092992,3
385,46,F,Manizales,Particular,Kia,2020,141822978,14
386,66,M,Cali,Particular,Toyota,2015,46229010,1
387,63,M,Manizales,Particular,Renault,2015,61531786,14
388,48,F,Barranquilla,Particular,Renault,2017,85757531,10
389,52,M,Manizales,Comercial,Kia,2011,90271871,17
390,50,M,Bucaramanga,Comercial,Ford,2019,28135026,5
391,69,F,Medellin,Particular,Mazda,2021,147389009,13
392,38,M,Barranquilla,Particular,Toyota,2017,120267188,8
393,49,M,Manizales,Particular,Chevrolet,2008,43072749,6
394,40,F,Medellin,Particular,Renault,2005,28110477,0
395,50,M,Bucaramanga,Particular,Hyundai,2016,45949772,8
396,20,M,Cali,Particular,Nissan,2008,54913106,1
397,35,M,Bogota,Comercial,Toyota,2005,49682475,5
398,42,F,Medellin,Particular,Chevrolet,2010,58881714,16
399,59,M,Cali,Particular,Renault,2015,147074335,0
400,48,F,Medellin,Particular,Toyota,2022,73216042,16
401,20,F,Medellin,Particular,Mazda,2022,61399712,14
402,57,M,Medellin,Particular,Chevrolet,2010,142503685,11
403,63,F,Bucaramanga,Particular,Hyundai,2018,33800605,4
404,41,M,Barranquilla,Particular,Ford,2010,89286473,5
405,67,M,Medellin,Particular,Chevrolet,2019,92643229,3
406,49,M,Bucaramanga,Particular,Toyota,2005,38999368,4
407,64,F,Bogota,Particular,Nissan,2021,83280261,17
408,39,M,Barranquilla,Particular,Kia,2016,102307199,9
409,40,M,Bucaramanga,Particular,Ford,2007,105769964,16
410,19,M,Bogota,Particular,Renault,2006,45554245,1
411,44,F,Barranquilla,Particular,Nissan,2010,54088659,9
412,59,F,Bucaramanga,Particular,Kia,2009,105701328,17
413,19,M,Bogota,Particular,Mazda,2012,49125121,16
414,43,M,Bucaramanga,Particular,Chevrolet,2006,27670793,15
415,34,M,Bogota,Particular,Kia,2016,31322428,1
416,57,M,Medellin,Particular,Ford,2011,97144576,2
417,50,F,Medellin,Particular,Mazda,2018,72185377,5
418,26,F,Barranquilla,Particular,Kia,2014,28303342,5
419,60,F,Bogota,Particular,Hyundai,2018,81615860,2
420,65,F,Medellin,Particular,Kia,2015,22868003,13
421,56,F,Barranquilla,Particular,Renault,2023,55365031,15
422,46,F,Cali,Particular,Ford,2005,121922162,9
423,59,F,Medellin,Particular,Toyota,2006,47263891,2
424,43,M,Medellin,Comercial,Kia,2007,100028895,6
425,52,M,Manizales,Particular,Kia,2009,139281207,13
426,67,M,Bucaramanga,Particular,Kia,2015,69725456,14
427,42,M,Cali,Comercial,Nissan,2023,142648891,0
428,41,M,Bogota,Particular,Kia,2011,37682086,4
429,30,M,Barranquilla,Particular,Kia,2020,43987669,5
430,24,F,Cali,Particular,Chevrolet,2012,23965060,19
431,53,M,Bogota,Particular,Chevrolet,2008,95377472,0
432,62,F,Medellin,Particular,Toyota,2016,109770718,10
433,37,M,Manizales,Particular,Nissan,2022,41324817,3
434,18,F,Barranquilla,Particular,Hyundai,2018,107119940,3
435,25,F,Barranquilla,Particular,Chevrolet,2021,23809341,6
436,63,M,Cali,Particular,Mazda,2016,77278296,8
437,33,M,Bucaramanga,Particular,Renault,2013,139035206,19
438,31,M,Bogota,Comercial,Kia,2020,120829581,16
439,29,M,Manizales,Particular,Kia,2014,75327622,13
440,68,M,Manizales,Particular,Kia,2015,44271965,18
441,40,F,Cali,Particular,Hyundai,2013,22937232,6
442,32,M,Bucaramanga,Particular,Hyundai,2005,23359116,14
443,45,F,Bucaramanga,Particular,Mazda,2020,107026071,1
444,51,F,Bucaramanga,Particular,Nissan,2008,34348771,11
445,19,F,Barranquilla,Particular,Ford,2012,108990526,15
446,49,M,Bogota,Comercial,Kia,2006,72068235,10
447,40,M,Bogota,Particular,Ford,2018,47356817,10
448,39,M,Cali,Particular,Hyundai,2013,26741142,2
449,68,M,Medellin,Particular,Kia,2018,106215061,6
450,42,M,Cali,Particular,Chevrolet,2018,51524376,16
451,39,M,Bogota,Particular,Kia,2016,38915115,1
452,39,F,Barranquilla,Particular,Mazda,2015,37787160,1
453,66,M,Cali,Particular,Mazda,2005,88869731,19
454,69,F,Medellin,Particular,Hyundai,2005,71192724,10
455,59,F,Manizales,Particular,Kia,2015,148376431,12
456,23,M,Cali,Particular,Ford,2019,33144045,17
457,32,M,Bucaramanga,Particular,Mazda,2013,69160988,2
458,60,M,Medellin,Particular,Chevrolet,2021,81713979,3
459,54,M,Bucaramanga,Comercial,Nissan,2014,134546164,8
460,50,M,Barranquilla,Comercial,Hyundai,2019,72120061,9
461,25,M,Bogota,Comercial,Chevrolet,2016,70503559,18
462,61,F,Cali,Particular,Mazda,2009,79767920,15
463,61,F,Cali,Particular,Toyota,2018,21339509,6
464,22,F,Bucaramanga,Comercial,Ford,2014,121825028,10
